vegas_team,espn_team,ncaa_team,silver_team_id,silver_team,benz_team,massey_team,paine_team,kenpom_team,logo_url,espn_logo_url
NC State Wolfpack,NC State,NC State,152.0,North Carolina State,NC State,NC State,,,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/North_Carolina_State_University_Athletic_logo.svg/202px-North_Carolina_State_University_Athletic_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/152.png
Boston College Eagles,Boston College,Boston College,,,,,,,https://upload.wikimedia.org/wikipedia/en/thumb/9/96/Boston_College_Eagles_logo.svg/264px-Boston_College_Eagles_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/103.png
Washington Huskies,Washington,Washington,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Washington_Huskies_logo.svg/320px-Washington_Huskies_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/264.png
LSU Tigers,LSU,LSU,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/LSU_Athletics_logo.svg/220px-LSU_Athletics_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/99.png
Arkansas Razorbacks,Arkansas,Arkansas,,Arkansas,,,Arkansas,Arkansas,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Arkansas_Razorbacks_logo.svg/200px-Arkansas_Razorbacks_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/8.png
UCF Knights,UCF,UCF,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/UCF_Knights_logo.svg/299px-UCF_Knights_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2116.png
Penn State Nittany Lions,Penn St.,Penn St.,,,,,,,https://upload.wikimedia.org/wikipedia/en/thumb/3/3a/Penn_State_Nittany_Lions_logo.svg/320px-Penn_State_Nittany_Lions_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/213.png
Memphis Tigers,Memphis,Memphis,,Memphis,Memphis,Memphis,Memphis,Memphis,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/235.png&h=200&w=200,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/235.png
VCU Rams,VCU,VCU,,VCU,,,VCU,VCU,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/VCU_Rams_logo.svg/320px-VCU_Rams_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2670.png
North Texas Mean Green,North Texas,North Texas,,,,,,,https://upload.wikimedia.org/wikipedia/en/thumb/a/a2/North_Texas_Mean_Green_logo.svg/215px-North_Texas_Mean_Green_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/249.png
Charleston Cougars,Charleston,Charleston,232.0,Charleston,Col. of Charleston,Col Charleston,,,https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/College_of_Charleston_Cougars_logo.svg/206px-College_of_Charleston_Cougars_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/232.png
Miami Hurricanes,Miami (FL),Miami (FL),,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Miami_Hurricanes_logo.svg/320px-Miami_Hurricanes_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2390.png
Appalachian St Mountaineers,App State,App State,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Appalachian_State_Mountaineers_logo.svg/200px-Appalachian_State_Mountaineers_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2026.png
UNLV Rebels,UNLV,UNLV,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/UNLV_Rebels_wordmark.svg/320px-UNLV_Rebels_wordmark.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2439.png
